,JD,Body,RA,Dec,Dist,Dist_Sun
290,2271573.762869671,Sun,0.8719055555555556,5.618250000000001,1.003,0.0
293,2271593.7656078967,Sun,2.097761111111111,12.788638888888888,1.008,0.0
296,2271613.7683461225,Sun,3.3742277777777776,18.577444444444446,1.013,0.0
299,2271633.771084348,Sun,4.712908333333334,22.313861111111112,1.016,0.0
302,2271653.773822574,Sun,6.09255,23.496861111111112,1.017,0.0
305,2271673.7765607997,Sun,7.467408333333333,21.958555555555556,1.016,0.0
308,2271693.7792990254,Sun,8.794972222222222,17.929694444444447,1.014,0.0
311,2271713.782037251,Sun,10.059002777777778,11.947111111111111,1.01,0.0
314,2271733.784775477,Sun,11.274561111111112,4.692777777777778,1.004,0.0
317,2271753.7875137026,Sun,12.478047222222223,-2.891972222222222,0.999,0.0
320,2271773.7902519284,Sun,13.713375,-9.31838888888889,0.993,0.0
323,2271793.792990154,Sun,15.020122222222223,-16.82047222222222,0.988,0.0
326,2271813.79572838,Sun,16.41771388888889,-20.29061111111111,0.985,0.0
329,2271833.7984666056,Sun,17.88435,-22.504277777777776,0.983,0.0
332,2271853.8012048313,Sun,19.357547222222223,-21.81675,0.984,0.0
335,2271873.803943057,Sun,20.771780555555555,-17.976555555555557,0.986,0.0
338,2271893.806681283,Sun,22.097252777777776,-10.259583333333333,0.99,0.0
341,2271913.8094195086,Sun,23.34657222222222,-3.7638333333333334,0.995,0.0
344,2271933.8121577343,Sun,0.5579611111111111,3.6198333333333332,1.001,0.0
347,2271953.81489596,Sun,1.775763888888889,11.030805555555556,1.007,0.0
350,2271973.817634186,Sun,3.0369083333333333,17.2465,1.011,0.0
353,2271993.8203724115,Sun,4.359997222222222,21.573249999999998,1.015,0.0
356,2272013.8231106373,Sun,5.732886111111111,23.450944444444445,1.017,0.0
359,2272033.825848863,Sun,7.113813888888888,22.61191666666667,1.017,0.0
362,2272053.8285870887,Sun,8.456333333333333,19.188222222222223,1.015,0.0
365,2272073.8313253145,Sun,9.73656111111111,13.650777777777778,1.011,0.0
368,2272093.83406354,Sun,10.96183611111111,6.657944444444444,1.006,0.0
371,2272113.836801766,Sun,12.164152777777778,-0.9286388888888889,1.0,0.0
374,2272133.8395399917,Sun,13.386955555555556,-7.218416666666667,0.994,0.0
377,2272153.8422782174,Sun,14.672191666666667,-14.355500000000001,0.989,0.0
380,2272173.845016443,Sun,16.046219444444446,-19.230777777777778,0.985,0.0
383,2272193.847754669,Sun,17.499730555555555,-22.67522222222222,0.983,0.0
386,2272213.8504928946,Sun,18.978555555555555,-21.182861111111112,0.983,0.0
389,2272233.8532311204,Sun,20.412813888888888,-18.658944444444444,0.985,0.0
392,2272253.855969346,Sun,21.761741666666666,-12.475638888888888,0.989,0.0
395,2272273.858707572,Sun,23.028025,-5.750944444444444,0.994,0.0
398,2272293.8614457976,Sun,0.2449638888888889,1.5947222222222224,1.0,0.0
401,2272313.8641840233,Sun,1.4570472222222222,9.194055555555556,1.005,0.0
404,2272333.866922249,Sun,2.7043361111111115,15.789416666666666,1.01,0.0
407,2272353.869660475,Sun,4.011030555555555,20.66702777777778,1.014,0.0
410,2272373.8723987006,Sun,5.373925,23.22,1.016,0.0
413,2272393.8751369263,Sun,6.757655555555556,23.089194444444445,1.017,0.0
416,2272413.877875152,Sun,8.113530555555554,20.30216666666667,1.015,0.0
419,2272433.880613378,Sun,9.410205555555557,15.25625,1.012,0.0
422,2272453.8833516035,Sun,10.647452777777778,8.573611111111111,1.007,0.0
425,2272473.8860898293,Sun,11.851683333333334,0.9656111111111111,1.002,0.0
428,2272493.888828055,Sun,13.064658333333334,-5.175833333333333,0.996,0.0
431,2272513.8915662807,Sun,14.330266666666667,-12.008666666666668,0.991,0.0
434,2272533.8943045065,Sun,15.680313888888888,-18.34636111111111,0.986,0.0
437,2272553.897042732,Sun,17.116630555555556,-21.05622222222222,0.984,0.0
440,2272573.899780958,Sun,18.59594722222222,-22.75125,0.983,0.0
443,2272593.9025191837,Sun,20.047597222222223,-19.499694444444444,0.984,0.0
446,2272613.9052574094,Sun,21.420011111111112,-14.787611111111111,0.988,0.0
449,2272633.907995635,Sun,22.705569444444443,-7.772444444444444,0.992,0.0
452,2272653.910733861,Sun,23.93128888888889,0.44961111111111113,0.998,0.0
455,2272673.9134720867,Sun,1.140263888888889,7.286888888888889,1.004,0.0
458,2272693.9162103124,Sun,2.3752722222222222,14.213638888888887,1.009,0.0
461,2272713.918948538,Sun,3.665597222222222,19.60163888888889,1.013,0.0
464,2272733.921686764,Sun,5.015922222222223,22.80575,1.016,0.0
467,2272753.9244249896,Sun,6.398930555555556,23.38636111111111,1.017,0.0
470,2272773.9271632154,Sun,7.766333333333334,21.263583333333333,1.016,0.0
473,2272793.929901441,Sun,9.079608333333333,16.751083333333334,1.013,0.0
476,2272813.932639667,Sun,10.330708333333334,10.427166666666666,1.009,0.0
479,2272833.9353778926,Sun,11.540049999999999,2.9885833333333336,1.003,0.0
482,2272853.9381161183,Sun,12.746352777777776,-3.1722500000000005,0.997,0.0
485,2272873.940854344,Sun,13.994422222222221,-11.761861111111111,0.992,0.0
488,2272893.94359257,Sun,15.320930555555556,-17.62183333333333,0.987,0.0
491,2272913.9463307955,Sun,16.737005555555555,-21.64136111111111,0.984,0.0
494,2272933.9490690213,Sun,18.211458333333333,-22.528944444444445,0.983,0.0
497,2272953.951807247,Sun,19.67690277777778,-20.513555555555556,0.984,0.0
500,2272973.9545454727,Sun,21.072319444444446,-15.215,0.987,0.0
503,2272993.9572836985,Sun,22.37881388888889,-9.846138888888888,0.991,0.0
506,2273013.960021924,Sun,23.616388888888892,-1.5021666666666667,0.997,0.0
509,2273033.96276015,Sun,0.8253055555555555,5.324944444444444,1.002,0.0
512,2273053.9654983757,Sun,2.049886111111111,12.533055555555556,1.008,0.0
515,2273073.9682366014,Sun,3.324333333333333,18.38797222222222,1.012,0.0
518,2273093.970974827,Sun,4.660394444444445,22.21247222222222,1.016,0.0
521,2273113.973713053,Sun,6.039052777777778,23.49902777777778,1.017,0.0
524,2273133.9764512787,Sun,7.415275,22.062805555555556,1.016,0.0
527,2273153.9791895044,Sun,8.744791666666666,18.12263888888889,1.014,0.0
530,2273173.98192773,Sun,10.010941666666668,12.205694444444443,1.01,0.0
533,2273193.984665956,Sun,11.228069444444445,4.986527777777778,1.005,0.0
536,2273213.9874041816,Sun,12.430930555555555,-1.1954722222222223,0.999,0.0
539,2273233.9901424074,Sun,13.663872222222222,-9.600888888888889,0.993,0.0
542,2273253.992880633,Sun,14.967569444444445,-15.04427777777778,0.988,0.0
545,2273273.995618859,Sun,16.36145555555556,-20.422888888888888,0.985,0.0
548,2273293.9983570846,Sun,17.826025,-22.51913888888889,0.983,0.0
551,2273314.0010953103,Sun,19.30077222222222,-21.711694444444444,0.983,0.0
554,2273334.003833536,Sun,20.71819722222222,-17.772055555555557,0.986,0.0
557,2273354.006571762,Sun,22.047019444444445,-11.987333333333334,0.99,0.0
560,2273374.0093099875,Sun,23.299241666666667,-3.4629722222222226,0.995,0.0
563,2273394.0120482133,Sun,0.5115,3.321361111111111,1.001,0.0
566,2273414.014786439,Sun,1.7281361111111113,10.76175,1.006,0.0
569,2273434.0175246648,Sun,2.9875416666666665,17.037444444444446,1.011,0.0
572,2273454.0202628905,Sun,4.308419444444445,21.447555555555557,1.015,0.0
575,2273474.0230011162,Sun,5.6795888888888895,23.42575,1.017,0.0
578,2273494.025739342,Sun,7.061319444444444,22.690944444444444,1.017,0.0
581,2273514.0284775677,Sun,8.406030555555557,19.358805555555556,1.015,0.0
584,2273534.0312157935,Sun,9.6882,13.893833333333333,1.011,0.0
587,2273554.033954019,Sun,10.915194444444445,6.944861111111111,1.006,0.0
590,2273574.036692245,Sun,12.117730555555555,0.7695277777777778,1.001,0.0
593,2273594.0394304707,Sun,13.338427777777778,-7.508388888888889,0.995,0.0
596,2273614.0421686964,Sun,14.620497222222223,-14.59761111111111,0.99,0.0
599,2273634.044906922,Sun,15.991066666666665,-19.389277777777778,0.986,0.0
602,2273654.047645148,Sun,17.44162222222222,-22.721972222222224,0.983,0.0
605,2273674.0503833736,Sun,18.920650000000002,-21.1065,0.983,0.0
608,2273694.0531215994,Sun,20.35801388888889,-18.47588888888889,0.985,0.0
611,2273714.055859825,Sun,21.710177777777776,-12.214833333333333,0.989,0.0
614,2273734.058598051,Sun,22.979302777777775,-5.44925,0.994,0.0
617,2273754.0613362766,Sun,0.19789166666666666,1.2888055555555555,0.999,0.0
620,2273774.0640745023,Sun,1.4092805555555554,8.911222222222223,1.005,0.0
623,2273794.066812728,Sun,2.654688888888889,15.559194444444445,1.01,0.0
626,2273814.069550954,Sun,3.9594972222222222,20.51675,1.014,0.0
629,2273834.0722891795,Sun,5.320572222222222,23.167555555555555,1.016,0.0
632,2273854.0750274053,Sun,6.704258333333334,23.142916666666665,1.017,0.0
635,2273874.077765631,Sun,8.062375000000001,20.452277777777777,1.015,0.0
638,2273894.0805038568,Sun,9.361383333333333,15.483194444444445,1.012,0.0
641,2273914.0832420825,Sun,10.600275,8.85325,1.008,0.0
644,2273934.0859803082,Sun,11.805394444444445,1.2666111111111111,1.002,0.0
647,2273954.088718534,Sun,13.017125,-5.470555555555555,0.996,0.0
650,2273974.0914567597,Sun,14.279597222222224,-12.265861111111112,0.991,0.0
653,2273994.0941949855,Sun,15.626369444444444,-18.528111111111112,0.987,0.0
656,2274014.096933211,Sun,17.05975,-21.133055555555554,0.984,0.0
659,2274034.099671437,Sun,18.538125,-22.70647222222222,0.983,0.0
662,2274054.1024096627,Sun,19.992275,-19.342222222222222,0.984,0.0
665,2274074.1051478884,Sun,21.36819722222222,-14.545805555555557,0.988,0.0
668,2274094.107886114,Sun,22.65641388888889,-7.478972222222223,0.992,0.0
671,2274114.11062434,Sun,23.884008333333334,0.7571944444444444,0.998,0.0
674,2274134.1133625656,Sun,1.093038888888889,6.99625,1.004,0.0
677,2274154.1161007914,Sun,2.326119444444444,13.966833333333334,1.009,0.0
680,2274174.118839017,Sun,3.614327777777778,19.428444444444445,1.013,0.0
683,2274194.121577243,Sun,4.963027777777778,22.72711111111111,1.016,0.0
686,2274214.1243154686,Sun,6.345266666666666,23.413027777777778,1.017,0.0
689,2274234.1270536943,Sun,7.714280555555556,21.391527777777778,1.016,0.0
692,2274254.12979192,Sun,9.030277777777778,16.960805555555556,1.013,0.0
